time,seed,eigh
372,29,2.1100003432455336
376,29,3.938056471350897
380,29,5.317378023525576
384,29,3.5377813595536654
388,29,8.448243075375524
392,29,3.0235322923555015
396,29,2.1650617591594963
0,3,1.4890229891297848
4,3,3.775698533824981
8,3,4.744130179596639
12,3,3.2899200014133325
16,3,3.972156864638703
20,3,3.539704051913995
24,3,2.1894746183847738
28,3,3.112431144830734
32,3,3.8946563637430214
36,3,1.957596388564532
40,3,3.230788593522297
44,3,3.684869358118496
48,3,3.0868863996096354
52,3,2.9344351365034105
56,3,3.8001029111853524
60,3,5.314551123371747
64,3,2.682704612100997
68,3,2.4397663194519974
72,3,2.29821497757128
76,3,5.266291707993388
80,3,3.2683571982356416
84,3,3.30412705511466
88,3,7.971453591532293
92,3,2.2189780386383204
96,3,2.1925843258060262
100,3,2.3673321134098173
104,3,2.184129699731798
108,3,1.8598247131467986
112,3,4.041794940654673
116,3,4.839971325235665
120,3,2.5980968653930776
124,3,2.231248427653353
128,3,6.927446886376496
132,3,1.9279588345129095
136,3,2.989740270954426
140,3,4.206135227441046
144,3,2.107342812520756
148,3,4.787157571582478
152,3,3.8066259846692474
156,3,5.017597976421825
160,3,8.096219084983462
164,3,6.558984075433178
168,3,2.474728321948025
172,3,10.003441945178922
176,3,7.914988929466529
180,3,9.565112593255112
184,3,3.286535432007257
188,3,4.2321191421351525
192,3,2.3812351530167533
196,3,2.8146187223703634
200,3,3.791091636161184
204,3,3.2700489815201164
208,3,6.6629541023862355
212,3,3.6042595799589274
216,3,2.5226027334881866
220,3,3.6098053413419238
224,3,9.496978698107801
228,3,4.108366109706238
232,3,3.504620271371073
236,3,4.039379507726832
240,3,3.9963496512189063
244,3,2.4982937368247495
248,3,3.5542203171213376
252,3,3.24733578969219
256,3,6.034509986740257
260,3,6.020481136944617
264,3,3.6849636939888333
268,3,3.7370396146820695
272,3,1.9069128923717875
276,3,7.130666127019601
280,3,7.7619604973756
284,3,3.8989867825143536
288,3,12.854305818190507
292,3,3.872631131911217
296,3,8.155365032262441
300,3,3.379280319700156
304,3,5.318299602793625
308,3,10.733664082716755
312,3,3.104503936982375
316,3,2.460247636080094
320,3,5.653515253883416
324,3,1.9475773871419697
328,3,5.130516192910703
332,3,2.5322320737330197
336,3,3.187735789034664
340,3,16.962519854017902
344,3,4.340040070535392
348,3,4.170858824577196
352,3,3.145146946717375
356,3,3.5320710607526067
360,3,2.4482820196897723
364,3,2.786044633160302
368,3,3.6777851071526526
372,3,2.349493555577902
376,3,4.293715519228638
380,3,4.617435670407764
384,3,2.044268995056681
388,3,7.737869669349962
392,3,2.024902664646168
396,3,3.122895831640247
0,31,2.855498055312117
4,31,2.333617452403434
8,31,3.014350191178191
12,31,6.521117205188278
16,31,3.279976440403097
20,31,5.282110581215583
24,31,2.1483406376260876
28,31,4.972426194592814
32,31,2.4458002174579483
36,31,2.0911126056471434
40,31,2.455073119190621
44,31,3.345978445155074
48,31,2.4159156375374655
52,31,4.0962675139321645
56,31,2.3211244727766256
60,31,2.687375314227218
64,31,3.0483385121036477
68,31,2.7460698638051526
72,31,3.5432467093339293
76,31,3.813577039839854
80,31,2.4008148842648978
84,31,2.708302934036959
88,31,5.6941843706019535
92,31,2.2325798590873744
96,31,1.938249447816675
100,31,3.1972368580262143
104,31,2.048027397870952
